text,category
question about cancelling order {{Order Number}},General
i have a question about cancelling oorder {{Order Number}},General
i need help cancelling puchase {{Order Number}},General
I need to cancel purchase {{Order Number}},General
"I cannot afford this order, cancel purchase {{Order Number}}",General
can you help me cancel order {{Order Number}}?,General
"I can no longer afford order {{Order Number}}, cancel it",General
I am trying to cancel purchase {{Order Number}},General
I have got to cancel purchase {{Order Number}},General
i need help canceling purchase {{Order Number}},General
i dont know what to do to cancel order {{Order Number}},General
I have a problem with cancelling purchase {{Order Number}},General
problem with canceling purchase {{Order Number}},General
can you help me canceling order {{Order Number}}?,General
help  me canceling purchase {{Order Number}},General
can you help me cancel purchase {{Order Number}}?,General
what do I have to do to cancel purchase {{Order Number}}?,General
"I bought the same item twice, cancel order {{Order Number}}",General
need help with canceling order {{Order Number}},General
i want assistance canceling order {{Order Number}},General
I'm trying to cancel order {{Order Number}},General
i have problems with canceling order {{Order Number}},General
assistance with cancelling pucrhase {{Order Number}},General
need help with canceling purchase {{Order Number}},General
help cnceling order {{Order Number}},General
i want assistance cancelling order {{Order Number}},General
need assistance cancelling order {{Order Number}},General
problem with cancelling order {{Order Number}},General
assistnace cancelling order {{Order Number}},General
have a problem with canceling order {{Order Number}},General
i need help with canceling purchase {{Order Number}},General
assistance with cancelling pucrhase {{Order Number}},General
want assistance to cancel order  {{Order Number}},General
i do not know how i can cancel purchase {{Order Number}},General
need assistance to cancel order {{Order Number}},General
can you help me cancel purchase {{Order Number}}?,General
I can no longer afford purchase {{Order Number}},General
i need assistance canceling purchase {{Order Number}},General
I would like to cancel purchase {{Order Number}},General
i do not want these article i try to cancel order {{Order Number}},General
i need help to cancel purchase {{Order Number}},General
I have got to cancel purchase {{Order Number}},General
problems with cancelling order {{Order Number}},General
I need help canceling purchase {{Order Number}},General
assistance canceling purchase {{Order Number}},General
could ya help me cancel order {{Order Number}},General
could you help me cancelling order {{Order Number}} ?,General
cance order {{Order Number}},General
assistance cancelling purchase {{Order Number}},General
assistance with canceling purchase {{Order Number}},General
canceling order {{Order Number}},General
how to cancel order {{Order Number}},General
help me cancelling purchase {{Order Number}},General
have a question about cancelling order {{Order Number}},General
I can't afford purchase {{Order Number}},General
assistance with canceling purchase {{Order Number}},General
"I ordered some item, cancel purchase {{Order Number}}",General
i need help cancelling order {{Order Number}},General
"I can't afford order {{Order Number}}, help me cancelling it",General
I do not know how I can cancel purchase {{Order Number}},General
I try to cancel purchase {{Order Number}},General
problem with cancelling order {{Order Number}},General
"I cannot pay for the last purchase I have made, cancel it",General
help me cancelling purchase {{Order Number}},General
could you help me cancel purchase {{Order Number}}?,General
I want to cancle purchase {{Order Number}},General
help me to cancel my  last goddamn purchase,General
I have a problem witrh cancelling purchase {{Order Number}},General
can  uhelp me canceling order {{Order Number}},General
problems with canceling purchase {{Order Number}},General
I need assistancde cancelling order {{Order Number}},General
"I bought some item, cancel order {{Order Number}}",General
need help with cancelling order {{Order Number}},General
"I can't pay for this item, can I cancel order {{Order Number}}?",General
I need help cacneling order {{Order Number}},General
where could I cancel purchase {{Order Number}}?,General
i bought some damn item help to cancep order {{Order Number}},General
want assistance to cancel order {{Order Number}},General
"I have got to cancel purchase {{Order Number}}, help me",General
whag do i need to do to cancel order {{Order Number}},General
I want assistance canceling order {{Order Number}},General
I can no longer afford purchase {{Order Number}},General
I want assistance to cancel purchase {{Order Number}},General
cancelling order,General
i want help cancelling purchase {{Order Number}},General
what do I have to do to cancel order {{Order Number}}?,General
can you help me to cancel purchase {{Order Number}}?,General
I need help cancelling order {{Order Number}},General
I do not know how I can cancel purchase {{Order Number}},General
i want help to cancel purchase {{Order Number}},General
how do i cancel order {{Order Number}},General
"I bought some articles, help me to cancel order {{Order Number}}",General
need assistance cancelling order {{Order Number}},General
where to cancel purchase {{Order Number}},General
I want help canceling order {{Order Number}},General
I want help cancellkng purchase {{Order Number}},General
I need help with cancelling order {{Order Number}},General
I want assistance to cancel order {{Order Number}},General
I want assistance to cancel order {{Order Number}},General
need assistance cancelling purchase {{Order Number}},General
where can I cancel order {{Order Number}}?,General
have problems with canceling order {{Order Number}},General
where can I cancel order {{Order Number}}?,General
I can no longer pay for order {{Order Number}},General
I can't afford purchase {{Order Number}},General
"I would like to cancel purchase {{Order Number}}, I need help",General
i do not know how to cancel order {{Order Number}},General
help with cancelling purchase {{Order Number}},General
i want help cancelling purchase {{Order Number}},General
"I can no longer afford order {{Order Number}}, help me cancel it",General
need assistance canceling order {{Order Number}},General
I have problems with cancelling purchase {{Order Number}},General
